[1772590152] [apply_action] freq=501 Hz, last_dt=2008 us
[1772590153] [apply_action] freq=500 Hz, last_dt=1981 us
[1772590154] [apply_action] freq=500 Hz, last_dt=1949 us
[1772590155] [apply_action] freq=500 Hz, last_dt=1988 us
[1772590156] [apply_action] freq=501 Hz, last_dt=2006 us
[1772590157] [apply_action] freq=501 Hz, last_dt=2007 us
[1772590158] [apply_action] freq=500 Hz, last_dt=1984 us
[1772590159] [apply_action] freq=501 Hz, last_dt=1995 us
[1772590160] [apply_action] freq=501 Hz, last_dt=2010 us
[1772590161] [apply_action] freq=501 Hz, last_dt=1998 us
[1772590162] [apply_action] freq=500 Hz, last_dt=2023 us
[1772590163] [apply_action] freq=501 Hz, last_dt=2023 us
[1772590164] [apply_action] freq=500 Hz, last_dt=1973 us
[1772590165] [apply_action] freq=501 Hz, last_dt=2003 us
[1772590166] [apply_action] freq=500 Hz, last_dt=2015 us
[1772590167] [apply_action] freq=500 Hz, last_dt=2008 us
[1772590168] [apply_action] freq=501 Hz, last_dt=2071 us
[1772590169] [apply_action] freq=501 Hz, last_dt=1953 us
[1772590170] [apply_action] freq=500 Hz, last_dt=1952 us
[1772590171] [apply_action] freq=501 Hz, last_dt=1987 us
[1772590172] [apply_action] freq=500 Hz, last_dt=2002 us
[1772590173] [apply_action] freq=501 Hz, last_dt=2020 us
[1772590174] [apply_action] freq=500 Hz, last_dt=2002 us
[1772590175] [apply_action] freq=501 Hz, last_dt=1995 us
[1772590176] [apply_action] freq=500 Hz, last_dt=2029 us
[1772590177] [apply_action] freq=500 Hz, last_dt=2016 us
[1772590178] [apply_action] freq=501 Hz, last_dt=1998 us
[1772590179] [apply_action] freq=501 Hz, last_dt=2015 us
[1772590180] [apply_action] freq=501 Hz, last_dt=2013 us
[1772590181] [apply_action] freq=501 Hz, last_dt=2033 us
[1772590182] [apply_action] freq=501 Hz, last_dt=2012 us
[1772590183] [apply_action] freq=501 Hz, last_dt=2066 us
[1772590184] [apply_action] freq=501 Hz, last_dt=1985 us
